,beta_top,beta_bottom,crdm_amb_lev,crdm_sure_amt,crdm_sure_p,crdm_lott_amt,crdm_lott_p
0,0.3513513513513513,-2.3513513513513513,74.0,5.0,100.0,40.0,50.0
27,0.3513513513513513,-2.3513513513513513,74.0,5.0,100.0,5.0,50.0
26,0.3513513513513513,-2.3513513513513513,74.0,5.0,100.0,20.0,50.0
24,0.3513513513513513,-2.3513513513513513,74.0,5.0,100.0,8.0,50.0
20,0.3513513513513513,-2.3513513513513513,74.0,5.0,100.0,5.0,50.0
17,0.3513513513513513,-2.3513513513513513,74.0,5.0,100.0,50.0,50.0
16,0.3513513513513513,-2.3513513513513513,74.0,5.0,100.0,50.0,50.0
12,0.3513513513513513,-2.3513513513513513,74.0,5.0,100.0,8.0,50.0
30,0.3513513513513513,-2.3513513513513513,74.0,5.0,100.0,40.0,50.0
2,0.3513513513513513,-2.3513513513513513,74.0,5.0,100.0,20.0,50.0
8,0.3513513513513513,-2.3513513513513513,74.0,5.0,100.0,40.0,50.0
9,1.0,-3.0,50.0,5.0,100.0,20.0,50.0
28,1.0,-3.0,50.0,5.0,100.0,20.0,50.0
1,1.0,-3.0,50.0,5.0,100.0,8.0,50.0
23,1.0,-3.0,50.0,5.0,100.0,5.0,50.0
21,1.0,-3.0,50.0,5.0,100.0,5.0,50.0
4,1.0,-3.0,50.0,5.0,100.0,8.0,50.0
18,1.0,-3.0,50.0,5.0,100.0,50.0,50.0
15,1.0,-3.0,50.0,5.0,100.0,40.0,50.0
13,1.0,-3.0,50.0,5.0,100.0,40.0,50.0
5,1.0,-3.0,50.0,5.0,100.0,50.0,50.0
6,3.166666666666667,-5.166666666666667,24.0,5.0,100.0,8.0,50.0
29,3.166666666666667,-5.166666666666667,24.0,5.0,100.0,5.0,50.0
14,3.166666666666667,-5.166666666666667,24.0,5.0,100.0,50.0,50.0
22,3.166666666666667,-5.166666666666667,24.0,5.0,100.0,5.0,50.0
3,3.166666666666667,-5.166666666666667,24.0,5.0,100.0,40.0,50.0
25,3.166666666666667,-5.166666666666667,24.0,5.0,100.0,40.0,50.0
7,3.166666666666667,-5.166666666666667,24.0,5.0,100.0,50.0,50.0
11,3.166666666666667,-5.166666666666667,24.0,5.0,100.0,8.0,50.0
10,3.166666666666667,-5.166666666666667,24.0,5.0,100.0,20.0,50.0
19,3.166666666666667,-5.166666666666667,24.0,5.0,100.0,20.0,50.0
